Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,7316.0,18.0,177.0,7316.0,0.1,170.14800000000002,0.0,0.0,712.0486214160919,,,,,,,,,,,,,,,,,,,,,69.84957893290286,47.719589121447854,158.10066776373594,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,7415.0,19.0,99.0,7415.0,0.1,100.96500000000007,0.0,0.0,721.9840185642242,,,,,,,,,,,,,,,,,,,,,43.43482244033244,31.26547121993153,96.85857286556535,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,7470.0,20.0,55.0,7470.0,0.1,48.92600000000002,0.0,0.0,727.7018587589264,,,,,,,,,,,,,,,,,,,,,18.8957072537803,16.076696917221177,47.98265342523915,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,801.0,1.0,801.0,8271.0,0.1,882.3010000000063,0.0,0.0,1986.2261695861816,,,,,,,,,,,,,,,,,,,,,362.568821060687,166.421987759409,593.0689190996694,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,1616.0,2.0,815.0,9086.0,0.1,981.400000000008,0.0,0.0,2066.1181180477142,,,,,,,,,,,,,,,,,,,,,378.30208448793593,183.29459108164733,674.4319906917245,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,1797.0,3.0,181.0,9267.0,0.1,211.02699999999967,0.0,0.0,2083.9785265922546,,,,,,,,,,,,,,,,,,,,,94.21513910162896,58.98077729664046,194.36259064129717,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,2077.0,4.0,280.0,9547.0,0.1,314.4669999999992,0.0,0.0,2111.734678030014,,,,,,,,,,,,,,,,,,,,,125.2028408708338,82.04856795181853,279.96986431493207,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,2908.0,5.0,831.0,10378.0,0.1,959.8600000000079,0.0,0.0,2193.41765832901,,,,,,,,,,,,,,,,,,,,,367.9717068692888,180.38300594664753,655.385627460915,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,3728.0,6.0,820.0,11198.0,0.1,898.3200000000071,0.0,0.0,2273.7654843330383,,,,,,,,,,,,,,,,,,,,,352.02857050711265,170.29143900369496,610.8777167399313,0.8999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,3892.0,7.0,164.0,11362.0,0.1,133.84700000000007,0.0,0.0,2289.847238302231,,,,,,,,,,,,,,,,,,,,,48.90172687070829,35.64490306117202,126.07914901207903,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,4009.0,8.0,117.0,11479.0,0.1,128.0250000000001,0.0,0.0,2301.8203976154327,,,,,,,,,,,,,,,,,,,,,54.57238779774749,38.18513681656542,121.88367609617983,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,4091.0,9.0,82.0,11561.0,0.1,69.80900000000005,0.0,0.0,2310.247794151306,,,,,,,,,,,,,,,,,,,,,25.03835127427086,21.110837729680178,67.89157044482903,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,4131.0,10.0,40.0,11601.0,0.1,31.366999999999997,0.0,0.0,2314.502522945404,,,,,,,,,,,,,,,,,,,,,10.292918161255365,11.177127350321538,31.017286829922803,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,4977.0,11.0,846.0,12447.0,0.1,965.2200000000079,0.0,0.0,2398.1025834083557,,,,,,,,,,,,,,,,,,,,,360.3188225100947,191.25706776945546,661.7130405244676,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,5412.0,12.0,435.0,12882.0,0.1,442.2489999999984,0.0,0.0,2440.778731584549,,,,,,,,,,,,,,,,,,,,,166.10748548708122,106.73972708147642,370.73333975929813,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,5785.0,13.0,373.0,13255.0,0.1,422.0479999999979,0.0,0.0,2477.5919511318207,,,,,,,,,,,,,,,,,,,,,176.13974438381385,112.09782261945386,357.0616415663287,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,6442.0,14.0,657.0,13912.0,0.1,773.9280000000028,0.0,0.0,2542.7096474170685,,,,,,,,,,,,,,,,,,,,,295.03410799477945,170.7386744034123,581.2525148245641,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,7106.0,15.0,664.0,14576.0,0.1,735.6280000000023,0.0,0.0,2608.3019375801086,,,,,,,,,,,,,,,,,,,,,300.0028848388976,159.15962943401718,537.5005480625497,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
