Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,61.0,1.0,61.0,61.0,0.1,27.700000000000017,0.0,0.0,0.01635456085205078,,,,,,,,,,,,,,,,,,,,,6.26072389153919,9.912615412351457,27.372814097998024,-6.979034965020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,360.0,2.0,299.0,360.0,0.1,268.3000000000002,0.0,0.0,27.717856407165527,,,,,,,,,,,,,,,,,,,,,107.62531761203093,78.04522386380879,236.59297939982304,-6.979034965020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,573.0,3.0,213.0,573.0,0.1,229.52000000000027,0.0,0.0,47.234833002090454,,,,,,,,,,,,,,,,,,,,,90.08692450294342,71.19337835993662,210.75277988786888,-8.964083874125917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,836.0,4.0,263.0,836.0,0.1,231.20000000000076,0.0,0.0,71.34928560256958,,,,,,,,,,,,,,,,,,,,,91.25161039500979,63.73493078587017,207.61585055136484,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,1479.0,5.0,643.0,1479.0,0.1,613.9799999999989,0.0,0.0,129.71897292137146,,,,,,,,,,,,,,,,,,,,,228.03942906442072,135.7983622088217,468.28675232948393,-9.955119790251791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,1748.0,6.0,269.0,1748.0,0.1,219.980000000001,0.0,0.0,154.2539246082306,,,,,,,,,,,,,,,,,,,,,87.22648571749428,55.600504249630355,196.90969782795221,-4.990009995001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,1909.0,7.0,161.0,1909.0,0.1,140.88000000000005,0.0,0.0,169.0982232093811,,,,,,,,,,,,,,,,,,,,,51.17136869577281,42.478498722211135,132.90709091471925,-4.990009995001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,2115.0,8.0,206.0,2115.0,0.1,203.76000000000022,0.0,0.0,188.09563779830933,,,,,,,,,,,,,,,,,,,,,81.95470762633694,60.99682419557566,187.25164626986813,-8.964083874125917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,2322.0,9.0,207.0,2322.0,0.1,155.56000000000049,0.0,0.0,206.73093676567078,,,,,,,,,,,,,,,,,,,,,66.05074562717998,46.20742451508252,142.17169687723137,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,3180.0,10.0,858.0,3180.0,0.1,790.799999999994,0.0,0.0,284.74467968940735,,,,,,,,,,,,,,,,,,,,,296.5193403374844,149.51529150578426,537.4607901098681,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,3542.0,11.0,362.0,3542.0,0.1,297.64000000000084,0.0,0.0,317.7355833053589,,,,,,,,,,,,,,,,,,,,,123.36296408778604,80.66136698604357,253.48933217524,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,3664.0,12.0,122.0,3664.0,0.1,49.19999999999999,0.0,0.0,328.7734489440918,,,,,,,,,,,,,,,,,,,,,3.228278122568139,20.080966603465225,48.9039089831039,-20.791324035294853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,4487.0,13.0,823.0,4487.0,0.1,817.339999999999,0.0,0.0,403.24712800979614,,,,,,,,,,,,,,,,,,,,,324.89687879853017,163.25670668366814,551.0514205384665,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,5182.0,14.0,695.0,5182.0,0.1,592.0999999999997,0.0,0.0,466.64930272102356,,,,,,,,,,,,,,,,,,,,,241.34432706281237,128.8928528177329,425.21569887339325,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,5806.0,15.0,624.0,5806.0,0.1,545.5000000000005,0.0,0.0,523.2219033241272,,,,,,,,,,,,,,,,,,,,,213.60871736952302,124.99576701387485,413.03381495751756,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,6044.0,16.0,238.0,6044.0,0.1,145.00000000000023,0.0,0.0,544.8229990005493,,,,,,,,,,,,,,,,,,,,,55.41531078623265,39.70748328899093,132.07517430631503,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,6868.0,17.0,824.0,6868.0,0.1,758.3599999999975,0.0,0.0,619.9649336338043,,,,,,,,,,,,,,,,,,,,,291.72049664726393,141.53196084529827,519.0198314056344,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,7701.0,18.0,833.0,7701.0,0.1,799.819999999997,0.0,0.0,695.3535692691803,,,,,,,,,,,,,,,,,,,,,309.14697818582727,156.63750474644544,543.3867973791671,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,8037.0,19.0,336.0,8037.0,0.1,360.0400000000003,0.0,0.0,726.3789870738983,,,,,,,,,,,,,,,,,,,,,150.2699358223124,98.33442679550814,310.16933005448203,-4.990009995001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,8203.0,20.0,166.0,8203.0,0.1,122.10000000000045,0.0,0.0,741.634096622467,,,,,,,,,,,,,,,,,,,,,35.37306658228284,45.52567208863727,116.46087623894266,-13.497524819676915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,353.0,1.0,353.0,8556.0,0.1,327.4600000000004,0.0,0.0,2027.2078664302826,,,,,,,,,,,,,,,,,,,,,138.52029205940627,84.72196817462597,279.12029837949024,-6.979034965020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,731.0,2.0,378.0,8934.0,0.1,396.92000000000087,0.0,0.0,2062.0153017044067,,,,,,,,,,,,,,,,,,,,,162.10779877167306,103.53181167137456,336.3155468424456,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,1427.0,3.0,696.0,9630.0,0.1,637.5199999999974,0.0,0.0,2125.2800345420837,,,,,,,,,,,,,,,,,,,,,237.75831606448483,141.19030468365693,472.98571045431686,-9.955119790251791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,1590.0,4.0,163.0,9793.0,0.1,149.60000000000025,0.0,0.0,2140.048176050186,,,,,,,,,,,,,,,,,,,,,55.70200050112826,44.88523698395076,140.80203719066023,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,1922.0,5.0,332.0,10125.0,0.1,325.00000000000057,0.0,0.0,2170.4687254428864,,,,,,,,,,,,,,,,,,,,,128.74268902655845,85.48469779438628,282.82279000039347,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,2271.0,6.0,349.0,10474.0,0.1,303.64000000000067,0.0,0.0,2202.4257214069366,,,,,,,,,,,,,,,,,,,,,132.58720233042575,78.18293658145039,257.88257365141044,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,2443.0,7.0,172.0,10646.0,0.1,154.54000000000008,0.0,0.0,2218.2162914276123,,,,,,,,,,,,,,,,,,,,,59.23729450884318,45.47123612437216,144.64032134685135,-6.979034965020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,2557.0,8.0,114.0,10760.0,0.1,98.27999999999986,0.0,0.0,2228.7734003067017,,,,,,,,,,,,,,,,,,,,,35.96316134748386,30.655286903432568,94.36884292339073,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,2595.0,9.0,38.0,10798.0,0.1,25.64,0.0,0.0,2232.569433450699,,,,,,,,,,,,,,,,,,,,,4.342265827885581,10.548063076916723,25.526020413346625,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
