Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
17,0.0,0.0,0.0,3743.0,17.0,271.0,3743.0,0.1,278.3800000000008,0.0,0.0,355.52646017074585,,,,,,,,,,,,,,,,,,,,,116.41132237250005,77.79674119781,247.3269381864873,-6.979034965020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,3871.0,18.0,128.0,3871.0,0.1,115.97999999999985,0.0,0.0,368.26883578300476,,,,,,,,,,,,,,,,,,,,,49.37236996205064,34.7241345338131,109.87998673834751,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,3970.0,19.0,99.0,3970.0,0.1,87.13999999999984,0.0,0.0,378.06257939338684,,,,,,,,,,,,,,,,,,,,,33.49064809140819,27.76082758320113,83.99232649962336,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,4486.0,20.0,516.0,4486.0,0.1,508.56000000000176,0.0,0.0,428.63742423057556,,,,,,,,,,,,,,,,,,,,,197.8703723093506,126.06332612817167,407.2730266686854,-6.979034965020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,252.0,1.0,252.0,4738.0,0.1,292.3800000000006,0.0,0.0,1172.0904371738434,,,,,,,,,,,,,,,,,,,,,126.54760796309999,79.89759521755468,261.0117653121578,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,334.0,2.0,82.0,4820.0,0.1,72.6399999999999,0.0,0.0,1180.5444180965424,,,,,,,,,,,,,,,,,,,,,23.005347137847423,25.660728932710718,70.89528120181899,-5.985019985006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,658.0,3.0,324.0,5144.0,0.1,305.60000000000014,0.0,0.0,1212.4046444892883,,,,,,,,,,,,,,,,,,,,,119.9309302663446,82.93158698272845,267.2766646463325,-4.990009995001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,1437.0,4.0,779.0,5923.0,0.1,836.019999999993,0.0,0.0,1288.6382131576538,,,,,,,,,,,,,,,,,,,,,319.28275626589283,176.9483373109062,588.4750945829405,-6.979034965020993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,1960.0,5.0,523.0,6446.0,0.1,494.66000000000145,0.0,0.0,1339.204068183899,,,,,,,,,,,,,,,,,,,,,198.04096092463897,116.23398657553048,391.8679214113153,-8.964083874125917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,2209.0,6.0,249.0,6695.0,0.1,207.580000000001,0.0,0.0,1363.6849632263184,,,,,,,,,,,,,,,,,,,,,73.99936867638314,61.247041784487735,189.53303373401505,-7.972055930055973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
